,hashtag_name,owner_id,short_code,likes_count,comments_count,post_description
17,гдебыпоесть,29084910634,B8O62Wsi2R_,9,1,"И так опять обед , на сей раз в Урюке в Метрополисе. Эх с чего бы начать, с вешалки? 😀 не плохая атмосфера, народу было не много. Тут уж нас посадили у окошка, вся красота заметённой МСК как на ладони. Меню большое, выбрать есть из чего... Всё достаточно вкусно вкусно, но жирновато 🤬 а мы ж худеем 🤣 цены вообще демократичные 👌 обслуживание, по мне лак лучше чем в #пифагоре 🤫 вердикт: быстро, много, вполне сносно и не дорого 🥳 всем приятного аппетита #кафеурюк #гдебыпоесть #урюк #харчо #чебурек #лагман #едимчтохотим"
18,гдебыпоесть,5739062734,B78GHcXo39r,23,0,"Тепло. Уютно. Сытно. ☺️🤗 @pbv_nvkz - один из самых уютных ресторанов нашего города.

И ещё у них самые вкусные блинчики 🥞, даже с мясом, хоть я их и не очень люблю но здесь они хороши. 👆Так-же сейчас у них в бизнес ланче есть за 149 руб комбо из пельмешек с курицей/капустой, супа дня и чая в 500 мл.

#гдебыпоесть #вкусно #новокузнецк # пельменьблинвареник #ресторанновокузнецк #пбв #бизнесланч #обед #nvkz"
20,гдебыпоесть,7103035268,B5jmiEWI_vr,38,7,"@autosteklo.moscow Режим работы с 12-00 до 24-00, ПН - ВСК
⠀
Пятница. Вечер, точнее уже ночь. 🌙
После #прогулкипоМоскве проголодались. Едем по Краснохолмской набережной, в поисках места, #гдебыпоесть 🥗🥘И на углу с Народной улицей увидели вывеску ресторана. 🍽
⠀
Пока ехали, между собой обсуждали, до скольки же #ресторан работает,  покормят ли нас? Потому что в нескольких местах нам уже отказали, сославшись на то, то они закрываются.
⠀
И когда уже проезжали ресторан (чтоб развернуться и подъехать к зданию) заметила едва уловимую табличку с режимом работы. Я ее прочитала вслух и сказала, что и тут кормить  нас не будут. Т.к. Время было уже после  часа ночи.😔
⠀
Естественно, то что табличку рассмотрела и прочитала, а не просто пошутила,  мне муж не поверил. А для проверки моих слов развернулся и подъехал к ресторану. Вышел, посмотреть табличку. И каково же было удивление мужа, когда  понял, что табличку я четко увидела будучи на противоположной стороне улицы. 😱
⠀
Это было 6 лет назад. Я всегда знала, что из возможных 100% зрения у меня оно на 💯 + 💯
⠀
Как-то дождливым осенним вечером расположились удобно на диване чтоб #посмотретьфильм 📺
Как же я удивилась, когда поняла, что телевизор показывает не четко. Мне постоянно хотелось подойти ближе, чтоб увидеть картину четче.
⠀
Попробовала закапать глаза.  Люблю читать, да и много работаю за гаджетами, за компом. Поэтому решила увлажнить глаза. Но трюк не удался. 😏
Тогда муж вынес вердикт - телевизор старый, надо новый покупать.  Новый так новый. Я что не против.
⠀
Потом был случай, что в сумерках, #насветофоре я не смогла разглядеть номер авто, стоящей впереди. 🚘 Это меня сильно насторожило. 🤔
⠀
Продолжение следует
Листайте карусель👆"
21,гдебыпоесть,1521168051,B5LvcBpBp-U,33,0,"Прохладный ноябрьский вечер...4 число....семейная традиция посещать новые заведения... На этот раз это было спонтанное и неожиданное решение, только вернулись из путешествия и придумывать заранее куда бы сходить совершенно не было времени и возможности, просто заметили что-то новенькое на углу ул.Квитки-Основяненко (напротив ""Япошки""). Название сказать не могу...так как иероглифы ещё не выучила🧐, но внутри очень миленько, молодежно, меню скромное,но традиционно китайское, блюда большие,цены лояльные. Место не для романтических встреч, но утолить голод отлично подойдёт) 
#гдебыпоесть#заведенияхарькова#семейныетрадиции#китайскаяеда"
24,гдебыпоесть,296132954,B1CHaDYnv8_,111,7,Фотосессия за 7 минут 🙃😊... Пока готовится папина жрачка😆 @cimes.minsk #ГдеБыПоесть  #ЧтоБыТакоеСъесть 😄 #едаедаеда @gretsky_alex
25,гдебыпоесть,1061379693,Bz5fD_wo-95,80,4,Прогулялись до кафе My Gelato. Наелись мороженого. Теперь бы съездить в Италию . ..сравнить😂😂 #алисенок #гдебыпоесть
26,гдебыпоесть,4162583790,Bym5JQiDYA5,29,0,Каждую среду в Trattoria Stefano на Большом проспекте действует акция - женским компаниям от 3-х человек скидка 30%😉 #рестораннапетроградке #петроградка #петроградскаясторона #пс #этопитердетка #итальянскийресторан #вино #италия #trattoriastefano #траттория #итальянскаятраттория #паста #деньроссии #12июня #впитерепить #гдебыпоесть #акциявресторане #женскийдень #girlspower #выходной #женскаякомпания #вкругуподруг #пицца
27,гдебыпоесть,12795242710,BxrTOzyopoT,16,0,"Херсонес! Место где крестили князя Владимира
#древнийгород #севатополь #женаразвалюха #гдебыпоесть"
28,гдебыпоесть,4838829343,BxQTSnVh5ks,42,0,"На этот раз мы устроили себе в Питере настоящий гик-трип! Первая остановка - бар по мотивам ""Игры престолов"", который называется ""Game of swords"" (чтобы никто не догадался). Больше фото, меню с ценами и подробный разбор со впечатлениями - в телеграме zhratch, подключайтесь, если интересно.

Сиськи и драконы - навсегда!

#GOT #gameofthrones #жрач #еда #гдебыпоесть #гдебывыпить #Питер #Петербург #инстафуд #инрапрестолов #бар #ресторан #кальян #гиктрип"
29,гдебыпоесть,5474162408,BxQEumMhjBj,45,1,"Как ни странно, но я снова пишу про #lolita. Шумно, многолюдно, аппетитно, весело и уютно! Почти авторская кухня (союз грузинских предпочтений и европейских взглядов), средний ценник, внимательный и проворный персонал, вкусная еда, винная карта 👍🏻👌🏻 и располагающая атмосфера. Располагает к долгим и шумным разговорам, шампанскому в час дня, удачным селфи и желанию остаться тут на долго. Приходите всегда! #вывтбилисивамсюда #туристуназаметку #самсебетурист #грузия #тбилиси #лолита #гдебыпоесть #ивыпить 👍🏻👌🏻🍾🎶🍽"
