,hashtag_name,owner_id,short_code,likes_count,comments_count,post_description
0,азовскиевалы,6634621339,BmIivhXB0KW,16,0,"Международный фестиваль военно-исторических клубов, посвящённый Азовскому осадному сидению донских казаков 1641 года. Фестиваль проходит на подлинном месте этого исторического события у валов Азовской крепости. #азовскоеосадноесидение #военноисторическийфестиваль #азовскиевалы #азов"
1,азовскиевалы,3691657349,BX-xl4SFX4m,20,0,"Азовские ""валы"". #Азов #азовскиевалы"
2,азовскиевалы,1443954521,Bobctx7Hp9H,87,2,#работа #дети #музей #Азов #азовскиевалы #природа #nature #naturephotography
3,азовскиевалы,1650111810,BKObWt2Apgi,506,4,Азовские валы #таисия©#азовскиевалы
4,азовскиевалы,974996713,BpkKcRcHqD6,52,3,"С Азовской крепости открывается отличный вид на  берега Дона, а в бинокуляр видно нашу Левенцовку, как на ладони👍🏼
Внизу Азовский морской порт. Правда до моря от него далеко🤔👀
#портестьаморянет#странно#азовскиевалы"
5,азовскиевалы,3643105491,BxBTkA2nNnH,31,1,"Азовская крепость
#азов #азовскаякрепость #азовскиевалы #путешествия"
6,азовскиевалы,6795457816,B4uO2_3lnHp,121,9,"Начал разбираться с крепостями -Звёздами в Ростовской области.Начал с Азова( старое название Асов).Недавно выставил пост о крепости, визуально это засыпанные валы глиной и селью  наследие Евроазиатского потопа 18 века.В существовании которого я лично не сомневаюсь. Нашёл старые карты действительно это крепость Звезда.Причём она располагалась по обе стороны реки Дон(Танаис).Бойницы в крепости направлены в сторону города а не в сторону реки.Увеличил и показал старое название Донской земли--- Черкасская -Тартария,входящая в состав Великой Тартарии со столицей  Тобольск. Ниже на территории Краснодарского края Кубанская Тартария.Официально принято считать ,что дата постройки крепости примерно 1698-1701 год Петром Великим.Но есть документы подтверждающие ,что на момент набегов турков на Черкассов в 1495 году крепость уже была и к Петру Романову никакого отношения не имеет. Возможно просто в дальнейшем использовали её для своих нужд.Сила потопа в этом месте была такова ,что от правой части форпоста не осталось ничего ,а левая метров на 15-20 засыпана полностью глиной.Внутри валов отлично видна кирпичная кладка .Удивляет то ,что ничего не раскапыаают.У одного исследовавшего валы туриста спросил: А вас не удивляет ,что все засыпано глиной? Тот ответил ,я даже не задумываюсь об этом.Вот и все.Крепость под землёй ,а никто не задумывается.Я заметил ,что звезды крепости дублируются их по двое.В дальнейшем покажу на примере Таганрога и Павловской крепости и Старочеркасска и крепости св.Анны.#азов#асов#крепостизвездыростовскойобласти#донскаяземля#альтернативнаяистория#азовкрепостьзвезда#азовскиевалы.#черкасскаятартария#доноведение"
